address_id,cluster_id
71413451,1
71411914,1
71410369,1
71410100,1
71410040,1
71396840,1
71376034,1
71368607,1
71396884,1
71392754,1
71368617,1
71376769,1
71375434,1
71353776,1
71346093,1
71292745,1
71292723,1
71277292,1
71340650,1
71341213,1
71330932,1
71329784,1
71316328,1
71309482,1
71279177,1
71277469,1
71317571,1
71300567,1
71300411,1
71278536,1
71279249,1
71278640,1
71277033,1
71272803,1
71256305,1
70930597,1
70929965,1
70922397,1
71274392,1
71266331,1
71265682,1
71250121,1
71243480,1
71240707,1
71232586,1
71238834,1
71238825,1
71221607,1
71221104,1
71232982,1
71229126,1
71213018,1
71212893,1
71171376,1
71188749,1
71179475,1
71177807,1
71153243,1
71153219,1
71180382,1
71175964,1
71173744,1
71166852,1
71164343,1
71141799,1
71137080,1
71141734,1
71119207,1
71119201,1
71075186,1
70961097,1
71109730,1
71109367,1
71103762,1
71094897,1
71094410,1
71090727,1
71063887,1
71019510,1
71056049,1
71059031,1
71037133,1
70828524,1
71046478,1
71001732,1
70961090,1
70994525,1
70993702,1
70977723,1
70969117,1
70977639,1
70961713,1
70961032,1
70956412,1
70948252,1
70943243,1
70922398,1
70913289,1
70826619,1
70913563,1
70827878,1
70436858,1
70897679,1
70885649,1
70877719,1
70876931,1
70867038,1
70867036,1
70847140,1
70861738,1
70831610,1
70826695,1
70846288,1
70810635,1
70825229,1
70825490,1
70823759,1
70791035,1
70786339,1
70789544,1
70788407,1
70787543,1
70786514,1
70778739,1
70772823,1
70772696,1
70766503,1
70765992,1
70758997,1
70757867,1
70704019,1
70697689,1
70716693,1
70681471,1
70681424,1
70674510,1
70689847,1
70688913,1
70661222,1
70674514,1
70668006,1
70666619,1
70661159,1
70638735,1
70662236,1
70649835,1
70640505,1
70651794,1
70638179,1
70638195,1
70610601,1
70564583,1
70589431,1
70579434,1
70580791,1
70516341,1
70551535,1
70539736,1
70521012,1
70527405,1
70511187,1
70463630,1
70454014,1
70511920,1
70479672,1
70506135,1
70498246,1
70486074,1
70479902,1
70475382,1
70474107,1
70480528,1
70480252,1
70467762,1
70446643,1
70446016,1
70437188,1
70437088,1
70420484,1
70428495,1
70421288,1
70410762,1
70401276,1
70400955,1
70394053,1
70369371,1
70394039,1
70379395,1
70272201,1
70257935,1
70342021,1
70359609,1
70343584,1
70343481,1
70337851,1
70324862,1
70317528,1
70308217,1
70307205,1
70306271,1
70306205,1
70285699,1
70282583,1
70163465,1
70295972,1
70295916,1
70163916,1
70284422,1
70278300,1
70277958,1
70269636,1
70265813,1
70263837,1
70263807,1
70259125,1
70215099,1
70253596,1
70233508,1
70233265,1
70222625,1
70222623,1
70215117,1
70214883,1
70209664,1
70209440,1
70194970,1
70182375,1
70163900,1
70163625,1
70155499,1
70168983,1
70169514,1
70152240,1
70145879,1
70145518,1
70140246,1
70138322,1
70133169,1
70129607,1
70128417,1
70128272,1
70128843,1
70128691,1
70128313,1
70128227,1
70090953,1
70087036,1
70115066,1
70107549,1
70107155,1
70101042,1
70093268,1
70098584,1
70098563,1
70098528,1
70087266,1
70086929,1
70086219,1
